match_id,frame_idx,timestamp_ms,mode,player_left_id,player_right_id,left_paddle_y,right_paddle_y,ball_x,ball_y,ball_vx,ball_vy,label_action_left,label_action_right,score_left,score_right
1775915817155,0,1679941.9000000954,pvp,player_1,player_2,222,222,484.667,270,280,0,stay,stay,0,0
1775915817155,1,1679958.3000000715,pvp,player_1,player_2,222,222,489.333,270,280,0,stay,stay,0,0
1775915817155,2,1679974.9000000954,pvp,player_1,player_2,222,222,494,270,280,0,stay,stay,0,0
1775915817155,3,1679991.8000000715,pvp,player_1,player_2,222,222,498.667,270,280,0,stay,stay,0,0
1775915817155,4,1680008.5,pvp,player_1,player_2,222,222,503.333,270,280,0,stay,stay,0,0
1775915817155,5,1680025,pvp,player_1,player_2,222,222,508,270,280,0,stay,stay,0,0
1775915817155,6,1680041.9000000954,pvp,player_1,player_2,222,222,512.667,270,280,0,stay,stay,0,0
1775915817155,7,1680058.8000000715,pvp,player_1,player_2,222,222,517.333,270,280,0,stay,stay,0,0
1775915817155,8,1680075.4000000954,pvp,player_1,player_2,222,222,522,270,280,0,stay,stay,0,0
1775915817155,9,1680091.7000000477,pvp,player_1,player_2,222,222,526.667,270,280,0,stay,stay,0,0
1775915817155,10,1680108.2000000477,pvp,player_1,player_2,222,222,531.333,270,280,0,stay,stay,0,0
1775915817155,11,1680124.8000000715,pvp,player_1,player_2,222,222,536,270,280,0,stay,stay,0,0
1775915817155,12,1680141.5,pvp,player_1,player_2,222,222,540.667,270,280,0,stay,stay,0,0
1775915817155,13,1680158.2000000477,pvp,player_1,player_2,222,222,545.333,270,280,0,stay,stay,0,0
1775915817155,14,1680174.8000000715,pvp,player_1,player_2,222,222,550,270,280,0,stay,stay,0,0
1775915817155,15,1680191.5,pvp,player_1,player_2,222,222,554.667,270,280,0,stay,stay,0,0
1775915817155,16,1680208.1000000238,pvp,player_1,player_2,222,222,559.333,270,280,0,stay,stay,0,0
1775915817155,17,1680225,pvp,player_1,player_2,222,222,564,270,280,0,stay,stay,0,0
1775915817155,18,1680241.5,pvp,player_1,player_2,222,222,568.667,270,280,0,stay,stay,0,0
