match_id,frame_idx,timestamp_ms,mode,player_left_id,player_right_id,left_paddle_y,right_paddle_y,ball_x,ball_y,ball_vx,ball_vy,label_action_left,label_action_right,score_left,score_right
m0,0,0,pvp,player_1,player_2,180,220,100,200,4.0,1.5,stay,up,0,0
m0,1,16,pvp,player_1,player_2,181,222,104,203,4.0,1.5,stay,up,0,0
m0,2,32,pvp,player_1,player_2,182,224,108,206,4.0,1.5,stay,up,0,0
m0,3,48,pvp,player_1,player_2,183,226,112,209,4.0,1.5,stay,up,0,0
m0,4,64,pvp,player_1,player_2,184,228,116,212,4.0,1.5,stay,up,0,0
m0,5,80,pvp,player_1,player_2,185,230,120,215,4.0,1.5,stay,up,0,0
m0,6,96,pvp,player_1,player_2,186,232,124,218,4.0,1.5,stay,up,0,0
m0,7,112,pvp,player_1,player_2,187,234,128,221,4.0,1.5,stay,up,0,0
m0,8,128,pvp,player_1,player_2,188,236,132,224,4.0,1.5,stay,up,0,0
m0,9,144,pvp,player_1,player_2,189,238,136,227,4.0,1.5,stay,up,0,0
m0,10,160,pvp,player_1,player_2,190,240,140,230,4.0,1.5,stay,up,0,0
m0,11,176,pvp,player_1,player_2,191,242,144,233,4.0,1.5,stay,up,0,0
m0,12,192,pvp,player_1,player_2,192,244,148,236,4.0,1.5,stay,up,0,0
m0,13,208,pvp,player_1,player_2,193,246,152,239,4.0,1.5,stay,up,0,0
m0,14,224,pvp,player_1,player_2,194,248,156,242,4.0,1.5,stay,up,0,0
m0,15,240,pvp,player_1,player_2,195,250,160,245,4.0,1.5,stay,stay,0,0
m0,16,256,pvp,player_1,player_2,196,252,164,248,4.0,1.5,stay,stay,0,0
m0,17,272,pvp,player_1,player_2,197,254,168,251,4.0,1.5,stay,stay,0,0
m0,18,288,pvp,player_1,player_2,198,256,172,254,4.0,1.5,stay,stay,0,0
m0,19,304,pvp,player_1,player_2,199,258,176,257,4.0,1.5,stay,stay,0,0
m0,20,320,pvp,player_1,player_2,200,260,180,260,4.0,1.5,stay,stay,0,0
m0,21,336,pvp,player_1,player_2,201,262,184,263,4.0,1.5,stay,stay,0,0
m0,22,352,pvp,player_1,player_2,202,264,188,266,4.0,1.5,stay,stay,0,0
m0,23,368,pvp,player_1,player_2,203,266,192,269,4.0,1.5,stay,stay,0,0
m0,24,384,pvp,player_1,player_2,204,268,196,272,4.0,1.5,stay,stay,0,0
m0,25,400,pvp,player_1,player_2,205,270,200,275,4.0,1.5,stay,stay,0,0
m0,26,416,pvp,player_1,player_2,206,272,204,278,4.0,1.5,stay,down,0,0
m0,27,432,pvp,player_1,player_2,207,274,208,281,4.0,1.5,stay,down,0,0
m0,28,448,pvp,player_1,player_2,208,276,212,284,4.0,1.5,stay,down,0,0
m0,29,464,pvp,player_1,player_2,209,278,216,287,4.0,1.5,stay,down,0,0
m0,30,480,pvp,player_1,player_2,210,280,220,290,4.0,1.5,stay,down,0,0
m0,31,496,pvp,player_1,player_2,211,282,224,293,4.0,1.5,stay,down,0,0
m0,32,512,pvp,player_1,player_2,212,284,228,296,4.0,1.5,stay,down,0,0
m0,33,528,pvp,player_1,player_2,213,286,232,299,4.0,1.5,stay,down,0,0
m0,34,544,pvp,player_1,player_2,214,288,236,302,4.0,1.5,stay,down,0,0
m0,35,560,pvp,player_1,player_2,215,290,240,305,4.0,1.5,stay,down,0,0
m0,36,576,pvp,player_1,player_2,216,292,244,308,4.0,1.5,stay,down,0,0
m0,37,592,pvp,player_1,player_2,217,294,248,311,4.0,1.5,stay,down,0,0
m0,38,608,pvp,player_1,player_2,218,296,252,314,4.0,1.5,stay,down,0,0
m0,39,624,pvp,player_1,player_2,219,298,256,317,4.0,1.5,stay,down,0,0
m0,40,640,pvp,player_1,player_2,220,300,260,200,4.0,1.5,stay,up,0,0
m0,41,656,pvp,player_1,player_2,221,302,264,203,4.0,1.5,stay,up,0,0
m0,42,672,pvp,player_1,player_2,222,304,268,206,4.0,1.5,stay,up,0,0
m0,43,688,pvp,player_1,player_2,223,306,272,209,4.0,1.5,stay,up,0,0
m0,44,704,pvp,player_1,player_2,224,308,276,212,4.0,1.5,stay,up,0,0
m0,45,720,pvp,player_1,player_2,225,220,280,215,4.0,1.5,stay,stay,0,0
m0,46,736,pvp,player_1,player_2,226,222,284,218,4.0,1.5,stay,stay,0,0
m0,47,752,pvp,player_1,player_2,227,224,288,221,4.0,1.5,stay,stay,0,0
m0,48,768,pvp,player_1,player_2,228,226,292,224,4.0,1.5,stay,stay,0,0
m0,49,784,pvp,player_1,player_2,229,228,296,227,4.0,1.5,stay,stay,0,0
m0,50,800,pvp,player_1,player_2,230,230,300,230,4.0,1.5,stay,stay,0,0
m0,51,816,pvp,player_1,player_2,231,232,304,233,4.0,1.5,stay,stay,0,0
m0,52,832,pvp,player_1,player_2,232,234,308,236,4.0,1.5,stay,stay,0,0
m0,53,848,pvp,player_1,player_2,233,236,312,239,4.0,1.5,stay,stay,0,0
m0,54,864,pvp,player_1,player_2,234,238,316,242,4.0,1.5,stay,stay,0,0
m0,55,880,pvp,player_1,player_2,235,240,320,245,4.0,1.5,stay,stay,0,0
m0,56,896,pvp,player_1,player_2,236,242,324,248,4.0,1.5,stay,down,0,0
m0,57,912,pvp,player_1,player_2,237,244,328,251,4.0,1.5,stay,down,0,0
m0,58,928,pvp,player_1,player_2,238,246,332,254,4.0,1.5,stay,down,0,0
m0,59,944,pvp,player_1,player_2,239,248,336,257,4.0,1.5,stay,down,0,0
m0,60,960,pvp,player_1,player_2,240,250,340,260,4.0,1.5,stay,down,0,0
m0,61,976,pvp,player_1,player_2,241,252,344,263,4.0,1.5,stay,down,0,0
m0,62,992,pvp,player_1,player_2,242,254,348,266,4.0,1.5,stay,down,0,0
m0,63,1008,pvp,player_1,player_2,243,256,352,269,4.0,1.5,stay,down,0,0
m0,64,1024,pvp,player_1,player_2,244,258,356,272,4.0,1.5,stay,down,0,0
m0,65,1040,pvp,player_1,player_2,245,260,360,275,4.0,1.5,stay,down,0,0
m0,66,1056,pvp,player_1,player_2,246,262,364,278,4.0,1.5,stay,down,0,0
m0,67,1072,pvp,player_1,player_2,247,264,368,281,4.0,1.5,stay,down,0,0
m0,68,1088,pvp,player_1,player_2,248,266,372,284,4.0,1.5,stay,down,0,0
m0,69,1104,pvp,player_1,player_2,249,268,376,287,4.0,1.5,stay,down,0,0
m0,70,1120,pvp,player_1,player_2,180,270,380,290,4.0,1.5,stay,down,0,0
m0,71,1136,pvp,player_1,player_2,181,272,384,293,4.0,1.5,stay,down,0,0
m0,72,1152,pvp,player_1,player_2,182,274,388,296,4.0,1.5,stay,down,0,0
m0,73,1168,pvp,player_1,player_2,183,276,392,299,4.0,1.5,stay,down,0,0
m0,74,1184,pvp,player_1,player_2,184,278,396,302,4.0,1.5,stay,down,0,0
m0,75,1200,pvp,player_1,player_2,185,280,400,305,4.0,1.5,stay,down,0,0
m0,76,1216,pvp,player_1,player_2,186,282,404,308,4.0,1.5,stay,down,0,0
m0,77,1232,pvp,player_1,player_2,187,284,408,311,4.0,1.5,stay,down,0,0
m0,78,1248,pvp,player_1,player_2,188,286,412,314,4.0,1.5,stay,down,0,0
m0,79,1264,pvp,player_1,player_2,189,288,416,317,4.0,1.5,stay,down,0,0
m1,0,0,pvp,player_1,player_2,181,225,100,207,4.0,1.5,stay,up,0,0
m1,1,16,pvp,player_1,player_2,182,227,104,210,4.0,1.5,stay,up,0,0
m1,2,32,pvp,player_1,player_2,183,229,108,213,4.0,1.5,stay,up,0,0
m1,3,48,pvp,player_1,player_2,184,231,112,216,4.0,1.5,stay,up,0,0
m1,4,64,pvp,player_1,player_2,185,233,116,219,4.0,1.5,stay,up,0,0
m1,5,80,pvp,player_1,player_2,186,235,120,222,4.0,1.5,stay,up,0,0
m1,6,96,pvp,player_1,player_2,187,237,124,225,4.0,1.5,stay,up,0,0
